title,guarantee,product_colorful,فیلتر,مناسب برای,cluster,cluster_names
ماسک تنفسی می ماسک مدل 6020 بسته 200 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,بیمارستان,1,135000-200000
ماسک تنفسی می ماسک مدل 6020 بسته 200 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,عمومی,1,135000-200000
ماسک تنفسی مدل ms بسته 3000 عددی,سرویس ویژه دیجی کالا: 7 روز تضمین بازگشت کالا,ندارد,ندارد,بیمارستان,2,1990000-2000000
ماسک تنفسی مدل ms بسته 3000 عددی,سرویس ویژه دیجی کالا: 7 روز تضمین بازگشت کالا,ندارد,ندارد,عمومی,2,1990000-2000000
ماسک تنفسی مدل mz بسته 3000 عددی,سرویس ویژه دیجی کالا: 7 روز تضمین بازگشت کالا,ندارد,ندارد,بیمارستان,4,3000000-3000000
ماسک تنفسی مدل mz بسته 3000 عددی,سرویس ویژه دیجی کالا: 7 روز تضمین بازگشت کالا,ندارد,ندارد,عمومی,4,3000000-3000000
ماسک تنفسی می ماسک مدل 7020 بسته 200 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,دارد,بیمارستان,1,135000-200000
ماسک تنفسی می ماسک مدل 7020 بسته 200 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,دارد,عمومی,1,135000-200000
ماسک تنفسی های ماسک مدل s03 بسته 200 عددی,سرویس ویژه دیجی کالا: 7 روز تضمین بازگشت کالا,ندارد,دارد,بیمارستان,1,135000-200000
ماسک تنفسی های ماسک مدل s03 بسته 200 عددی,سرویس ویژه دیجی کالا: 7 روز تضمین بازگشت کالا,ندارد,دارد,عمومی,1,135000-200000
ماسک تنفسی مدل mz بسته 150 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,بیمارستان,1,135000-200000
ماسک تنفسی مدل mz بسته 150 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,عمومی,1,135000-200000
ماسک تنفسی می ماسک مدل 8020 بسته 200 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,دارد,بیمارستان,1,135000-200000
ماسک تنفسی می ماسک مدل 8020 بسته 200 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,دارد,عمومی,1,135000-200000
ماسک تنفسی می ماسک مدل 6020 بسته 2000 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,دارد,بیمارستان,2,1990000-2000000
ماسک تنفسی می ماسک مدل 6020 بسته 2000 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,دارد,عمومی,2,1990000-2000000
ماسک تنفسی فراز مهر مدل fz1 بسته 2000 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,بیمارستان,5,1600000-1600000
ماسک تنفسی فراز مهر مدل fz1 بسته 2000 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,عمومی,5,1600000-1600000
ماسک تنفسی مدل ms بسته 2000 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,بیمارستان,3,1450000-1500000
ماسک تنفسی مدل ms بسته 2000 عددی,گارانتی اصالت و سلامت فیزیکی کالا,ندارد,ندارد,عمومی,3,1450000-1500000
ماسک تنفسی مدل mz بسته 2000 عددی,سرویس ویژه دیجی کالا: 7 روز تضمین بازگشت کالا,ندارد,ندارد,بیمارستان,3,1450000-1500000
